@W: CL271 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp.sv":27:0:27:8|Pruning bits 30 to 15 of result[31:0] -- not in use ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[31] is always 0, optimizing ...
@W: CL279 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Pruning register bits 31 to 2 of state[31:0] 
@W: CL249 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":49:0:49:8|Initial value is not supported on state machine state
@W: CL279 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp.sv":27:0:27:8|Pruning register bits 31 to 22 of square_out[31:0] 
@W: CL279 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp.sv":27:0:27:8|Pruning register bits 31 to 22 of scale_out[31:0] 
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[15] to a constant 0
@W: CL260 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Pruning register bit 15 of rx_index[15:0] 
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[4] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[5] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[6] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[7] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[8] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[9] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[10] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[11] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[12] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[13] to a constant 0
@W: CL190 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Optimizing register bit rx_index[14] to a constant 0
@W: CL279 :"H:\work\Part3\P3-Project\Code\Synplify\modules\uart.sv":59:0:59:8|Pruning register bits 14 to 4 of rx_index[14:0] 

